event_id,room_id,room,room_slug,mode,repetition,event_index,source_filename,input_file,prediction_file,prediction_row,selected_for_paper,selected_for_demo,source_clipped,pre_clap_snr_db,valid_input_samples,valid_input_duration_s,sample_rate,duration_s,recorded_audio,inferred_audio,prediction_checkpoint,checkpoint_sha256,selection_rule,input_sha256,prediction_array_sha256
room02_P1_r1_event00,2,Highly reverberant hallway,highly_reverberant_hallway,P1,1,0,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev00_P1_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,0,False,False,False,28.964373971796995,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P1_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/P1_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,f60ce49769f401296c33eec119c30dbf674bb5f84f07766e501bfe1e014d3efe,cf3b24b20e0dab22e364df48d1ae1411188cf92042bd75a179c64b2adcaf4d10
room02_P1_r2_event01,2,Highly reverberant hallway,highly_reverberant_hallway,P1,2,1,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev01_P1_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,1,False,False,False,30.215988014340667,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P1_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/P1_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,a050f71973c20879ef8ccc4d05d49001c6b19b6a60e8e991ec4993fc8be15cac,927a7f24505ff0ee6febfde2a589a50dae6a2842c0e515e2236d2b0937aaade8
room02_P1_r3_event02,2,Highly reverberant hallway,highly_reverberant_hallway,P1,3,2,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev02_P1_r3.wav,reports/phone_spectral_review/predictions.npz,8,True,True,False,30.873113404477696,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P1_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/P1_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",a033a4112bcb631bd21b9724e5a62c3af7bdb51322213777bfc631249582933a,0555109710e50bf5479132fc2ead4e1c917cfe90ab4a1f24ab714e1ede83d788
room02_P1_r4_event03,2,Highly reverberant hallway,highly_reverberant_hallway,P1,4,3,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev03_P1_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,3,False,False,False,29.984425378240367,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P1_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/P1_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,11d9554d81a07f594412638306c1f24706c6c7d0d5c7ca8a6505a986b3c24258,43940eb4c74780cbc89cb57fdfe683f9e8dae797673e3a3b76133e58c6f51cda
room02_P1_r5_event04,2,Highly reverberant hallway,highly_reverberant_hallway,P1,5,4,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev04_P1_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,4,False,False,False,28.05840314393265,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P1_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/P1_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,b61806aceb719f38b7d5d7b050f22c43d2fb09322a57befba12b1729eb919a19,587fa8041423119fc75cfb2e479b08476cbe5d6bd0ab18d107077833466182e3
room02_P2_r1_event05,2,Highly reverberant hallway,highly_reverberant_hallway,P2,1,5,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev05_P2_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,5,False,False,False,26.245772924213266,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P2_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/P2_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,ec635026c67e5765e0727f2a78f26d04824db82814e2b7a56c085ef18873b678,f37ecb8a1241d99f7f935147ca9f65daf9bacebd95b766dfe4cc818c3e439880
room02_P2_r2_event06,2,Highly reverberant hallway,highly_reverberant_hallway,P2,2,6,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev06_P2_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,6,False,False,False,24.215963869688,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P2_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/P2_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,079b2bb661e569eaf04cef1c01f72e9a19ef0abc7797ef5f7dbfb876397105f6,463f26fa1d8e80c8e66e7982b48f44ff8563651a68b4b5024f92d962fd65cba8
room02_P2_r3_event07,2,Highly reverberant hallway,highly_reverberant_hallway,P2,3,7,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev07_P2_r3.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch040.npy,7,False,False,False,12.20160463472509,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P2_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/P2_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,240c63508d9d5475cddcacc425ff2e161127ab5a3680dd0bae63f63b729a7290,9b1ef5995c5f25e6f2a30eb47af3445518b41ba9d882a322fd361d8ffb38cb5e
room02_P2_r4_event08,2,Highly reverberant hallway,highly_reverberant_hallway,P2,4,8,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev08_P2_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,0,False,False,False,18.748938283147407,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P2_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/P2_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,6654313dbe78848b63b77bee16544d62bb8fdfa9f152e4a988e0fdc4bbcd9aee,105ee994516f8784384dc7cf2d0f8f3f706d8c7c5dc7c9711a4b7635ee60ce4a
room02_P2_r5_event09,2,Highly reverberant hallway,highly_reverberant_hallway,P2,5,9,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev09_P2_r5.wav,reports/phone_spectral_review/predictions.npz,9,True,True,False,27.122239864924765,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P2_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/P2_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",ca7486a6233461d3feaf7004a09c08e832385b2dea0a72861c08c1a98d581623,a966ec6c8898e647348d5e6c99b2b18d4bcb2f81607a8b92d54cd395c26035df
room02_P3_r1_event10,2,Highly reverberant hallway,highly_reverberant_hallway,P3,1,10,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev10_P3_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,2,False,False,False,24.409198423981127,42080,0.9541950113378684,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,0b891bbcf1e0bf6e921d4d2a57c1a745d56218a8996f6235bbe08ad48031b3c7,73b331aa9f859fd3cfb02c00f4c08484e8276819ed4adfa611f2db955ba8fb83
room02_P3_r2_event11,2,Highly reverberant hallway,highly_reverberant_hallway,P3,2,11,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev11_P3_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,3,False,False,False,24.410140535149182,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,814d32f3c92b3719748eda8c09417890b6ac1eebfec5883815e535862a9677c2,dce2146a8a99d69044122acc16e9a67a53421af6525cefdddd586e0a8d6f6caf
