event_id,room_id,room,room_slug,mode,repetition,event_index,source_filename,input_file,prediction_file,prediction_row,selected_for_paper,selected_for_demo,source_clipped,pre_clap_snr_db,valid_input_samples,valid_input_duration_s,sample_rate,duration_s,recorded_audio,inferred_audio,prediction_checkpoint,checkpoint_sha256,selection_rule,input_sha256,prediction_array_sha256
room01_P1_r1_event00,1,Medium-size meeting room,medium_size_meeting_room,P1,1,0,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev00_P1_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,0,False,False,False,24.05378466453417,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P1_r1.wav,audio/inferred_rirs/medium_size_meeting_room/P1_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,85714c855591f8b516b69545666015b86677e76806efb2b7653e0e8de33fc1cd,d3b049a9aaf5a56c7af9b5f61d6f6216c3e7a7b9a5fa8bdcf550da0cd2bd1e14
room01_P1_r2_event01,1,Medium-size meeting room,medium_size_meeting_room,P1,2,1,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev01_P1_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,1,False,False,False,23.376961936377107,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P1_r2.wav,audio/inferred_rirs/medium_size_meeting_room/P1_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,6802a788c2485acd8acccfadd4f6c88969eab2a119fecb967cad07789f5296f9,dc9a79f55921e8260ad1092d04528b314ef136ceccce0bebd6fb188a6de0be96
room01_P1_r3_event02,1,Medium-size meeting room,medium_size_meeting_room,P1,3,2,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev02_P1_r3.wav,reports/phone_spectral_review/predictions.npz,0,True,True,False,28.60475954788771,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P1_r3.wav,audio/inferred_rirs/medium_size_meeting_room/P1_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",371ff63296ebedaea2afbf367582eba772dd34a6b2cd52980a34695f569d39bb,8e31ce3bd9762dc1fff830822369e349f43e4c9f39326cb4c08383619d5d8d49
room01_P1_r4_event03,1,Medium-size meeting room,medium_size_meeting_room,P1,4,3,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev03_P1_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,3,False,False,False,28.083082928836795,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P1_r4.wav,audio/inferred_rirs/medium_size_meeting_room/P1_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,0570f1f5b3a9b01e163cfab82e5ea45c66e40eb3223ecc7e2b3926e317695d7f,e7fe9f2cee8a91a1ed3f88ae99d37b343d211e37678b82aaf4c248abcc2d1a58
room01_P1_r5_event04,1,Medium-size meeting room,medium_size_meeting_room,P1,5,4,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev04_P1_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,4,False,False,False,23.583697620014824,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P1_r5.wav,audio/inferred_rirs/medium_size_meeting_room/P1_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,a3f260857fe7c80c0c0ef8be86826a5412471b6b0775de597ab15864ffc22500,dd063508a2a2b2b50a201c2da56e81fb8b157bd4d0867d85f7b9fbd14ade34e6
room01_P2_r1_event05,1,Medium-size meeting room,medium_size_meeting_room,P2,1,5,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev05_P2_r1.wav,reports/phone_spectral_review/predictions.npz,1,True,True,False,26.161639128116775,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P2_r1.wav,audio/inferred_rirs/medium_size_meeting_room/P2_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",a806daa5bf7ab223e4e15ed81ef02d40d19cf1e50807ce4d74aba0f0ea41d47d,4aea25226db59995aaf03d7e72a09e94308279dc4d37b8f7959353d77719fec2
room01_P2_r2_event06,1,Medium-size meeting room,medium_size_meeting_room,P2,2,6,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev06_P2_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,6,False,False,False,21.1604715276347,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P2_r2.wav,audio/inferred_rirs/medium_size_meeting_room/P2_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,355ed4c3077214f12bf105feb400a3f9067f834228a7d2d3c6f2904eabd4be40,5c46417e071ed09074cb32ef38c5a5c3e6052cad3e7ba3f240c34d65342f75b8
room01_P2_r3_event07,1,Medium-size meeting room,medium_size_meeting_room,P2,3,7,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev07_P2_r3.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch000.npy,7,False,False,False,21.344595774244688,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P2_r3.wav,audio/inferred_rirs/medium_size_meeting_room/P2_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,09b7fdf8cd4c1f5744e5f00b7d90a929c15c33d8cc87e30002bedaac0d86afe2,7632f8632eb671d1852b929efda4c9948bd076862f97daed0b8c21951db67ebf
room01_P2_r4_event08,1,Medium-size meeting room,medium_size_meeting_room,P2,4,8,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev08_P2_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch008.npy,0,False,False,False,21.596200396910294,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P2_r4.wav,audio/inferred_rirs/medium_size_meeting_room/P2_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,090a7f6f74e0a019ebabe7e796c35176a6ea2aef9e6ba886fef387a86d113147,094b7ff4169be22d3d078fc4b760ff1659b4f38c62ce9612402ce2b7f3fa8528
room01_P2_r5_event09,1,Medium-size meeting room,medium_size_meeting_room,P2,5,9,Medium Size Meeting Room.m4a,reports/phone_clap_demo/results/segments/m4a/room01_MediumSizeMeetingRoom_m4a_ev09_P2_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch008.npy,1,False,False,False,26.024782675332407,44100,1.0,44100,1.0,audio/phone_recordings/medium_size_meeting_room/P2_r5.wav,audio/inferred_rirs/medium_size_meeting_room/P2_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,ae5c265672510727299e69b06f4ff721971db0aad8951a0e63eddaa3b39ee9fa,f263493a20604bda42b55b9b57c1c960d45582a7e3957ea3cd5a2b84683fdca9
